filename,text,up_votes,down_votes,age,gender,accent,duration
cv-invalid/sample-000000.mp3,revenge is not my style but obviously accidents will happen,1,10,,,,
cv-invalid/sample-000001.mp3,it was bunched up and he had hardly thought of it for a long time,0,2,twenties,male,us,
cv-invalid/sample-000002.mp3,then suddenly he noticed it with a start,10,4,thirties,female,canada,
cv-invalid/sample-000003.mp3,that's the point at which most people give up,0,1,,,,
cv-invalid/sample-000004.mp3,you got someplace to sleep,0,1,,,,
cv-invalid/sample-000005.mp3,the stranger placed his sword in its scabbard and the boy relaxed,0,2,,,,
cv-invalid/sample-000006.mp3,it all happened rather suddenly,0,1,twenties,female,,
cv-invalid/sample-000007.mp3,he must know how to deal with the snakes of the desert,0,1,,,,
cv-invalid/sample-000008.mp3,the loafers and golf caddies were used to hanging out near the railway station,1,2,,,,
cv-invalid/sample-000009.mp3,because you will never again be able to keep it quiet,0,1,,,,
cv-invalid/sample-000010.mp3,the englishman prodded him and the boy asked her about the man who cured people's illnesses,0,1,thirties,male,,
cv-invalid/sample-000011.mp3,judge may not think so,0,2,,,,
cv-invalid/sample-000012.mp3,tear down all the fences,0,1,,,,
cv-invalid/sample-000013.mp3,i imagine this will be a surprise to some people,0,1,,,,
cv-invalid/sample-000014.mp3,and they had understood each other perfectly well,3,4,thirties,male,australia,
cv-invalid/sample-000015.mp3,artificial neural networks can do something very similar,0,1,,,,
cv-invalid/sample-000016.mp3,taking the jacket out he began to clean the glasses,150,17,,,,
cv-invalid/sample-000017.mp3,the boy wanted to believe that his friend had simply become separated from him by accident,0,1,,,,
cv-invalid/sample-000018.mp3,the old man wore a breastplate of heavy gold covered with precious stones,1,3,,,,
cv-invalid/sample-000019.mp3,the area was swirling in dust so intense that it hid the moon from view,0,3,sixties,female,african,
cv-invalid/sample-000020.mp3,chad waves up at them and continues on across the street,0,2,,,,
cv-invalid/sample-000021.mp3,maybe tomorrow said the boy moving away,10,2,,,,
cv-invalid/sample-000022.mp3,and the alchemist understood that the boy's heart had returned to the soul of the world,0,3,,,,
cv-invalid/sample-000023.mp3,you have helped me the man continued to prepare his tea saying nothing,0,1,,,,
cv-invalid/sample-000024.mp3,no doubt the impact had caused a flash of fire,1,2,fourties,male,us,
cv-invalid/sample-000025.mp3,a thin circle of bright metal showed between the top and the body of the cylinder,11,8,,,,
cv-invalid/sample-000026.mp3,just make yourselves at home,0,1,,,,
cv-invalid/sample-000027.mp3,the alchemist dismounted and told the escorts they could return to the camp,0,1,,,,
cv-invalid/sample-000028.mp3,scattered groups of people were hurrying from the direction of woking,1,2,,,,
cv-invalid/sample-000029.mp3,mine's in the door,0,1,,,,
cv-invalid/sample-000030.mp3,they wouldn't take it,1,2,,,,
cv-invalid/sample-000031.mp3,christmas eve at midnight,0,1,fourties,male,canada,
cv-invalid/sample-000032.mp3,he looked like an arab which was not unusual in those parts,1,2,,,,
cv-invalid/sample-000033.mp3,it's the philosophy that guarantees everyone's freedom,0,1,fourties,male,us,
cv-invalid/sample-000034.mp3,and continue to pay heed to the omens,0,1,,,,
cv-invalid/sample-000035.mp3,what had been next to him five minutes ago was now at the other side,1,3,,,,
cv-invalid/sample-000036.mp3,his name was joseph,0,1,fourties,male,us,
cv-invalid/sample-000037.mp3,what should we give him,0,1,thirties,female,us,
cv-invalid/sample-000038.mp3,i myself heard nothing of that,0,1,,,,
cv-invalid/sample-000039.mp3,maybe he should not call people names that they don't want to be called,1,2,,,,
cv-invalid/sample-000040.mp3,i've crossed these sands many times said one of the camel drivers one night,1,2,,,,
cv-invalid/sample-000041.mp3,in those days very few of the people had any idea about astronomy,1,38,,,,
cv-invalid/sample-000042.mp3,worryingly the radio signal became weaker,0,1,fourties,male,newzealand,
cv-invalid/sample-000043.mp3,i waited all afternoon and evening he said,0,1,twenties,female,us,
cv-invalid/sample-000044.mp3,just teach me to be the wind for a few moments the boy said,0,3,,,,
cv-invalid/sample-000045.mp3,it's almost as if he had been here and left his mark he thought,2,4,,,,
cv-invalid/sample-000046.mp3,what's its value today,0,1,,,,
cv-invalid/sample-000047.mp3,you can't believe it's not butter,1,4,,,,
cv-invalid/sample-000048.mp3,and you've told me nothing along the way said the boy,0,1,,,,
cv-invalid/sample-000049.mp3,today i understand something i didn't see before every blessing ignored becomes a curse,1,2,,,,
cv-invalid/sample-000050.mp3,it knew of the boy's talk with the desert because the winds know everything,0,1,,,,
cv-invalid/sample-000051.mp3,the boy waited and then interrupted the old man just as he himself had been interrupted,0,2,,,,
cv-invalid/sample-000052.mp3,the stranger placed his sword in its scabbard and the boy relaxed,0,2,,,,
cv-invalid/sample-000053.mp3,the loafers and golf caddies were used to hanging out near the railway station,0,1,fourties,male,us,
cv-invalid/sample-000054.mp3,i'll be back the boy said,14,2,thirties,male,england,
cv-invalid/sample-000055.mp3,the thief wasn't there and the owner brought him a cup of tea,0,1,thirties,male,us,
cv-invalid/sample-000056.mp3,the only shadow was that of the few scattered pine trees,1,2,,,,
cv-invalid/sample-000057.mp3,hires two personal trainers and make one of them train the other one,0,1,,,,
cv-invalid/sample-000058.mp3,but you will love her and she'll return your love,4,6,,,,
cv-invalid/sample-000059.mp3,hires two personal trainers and make one of them train the other one,0,1,twenties,male,us,
cv-invalid/sample-000060.mp3,one of the world's biggest problems is the growth of human population,0,1,thirties,male,,
cv-invalid/sample-000061.mp3,that doesn't happen to just anyone,0,1,teens,male,,
cv-invalid/sample-000062.mp3,all you've got to do is talk to him,0,1,,,,
cv-invalid/sample-000063.mp3,undefined,0,1,,,,
cv-invalid/sample-000064.mp3,you don't have to be rich skinny popular or even own a cape to perform a random act of kindness,13,17,,,,
cv-invalid/sample-000065.mp3,nature knows me as the wisest being in creation the sun said,0,1,,,,
cv-invalid/sample-000066.mp3,he paused and his eyes were still unfriendly,0,2,,,,
cv-invalid/sample-000067.mp3,my name is melchizedek said the old man,0,3,,,,
cv-invalid/sample-000068.mp3,they were looking only for gold his companion answered,374,7,,,,
cv-invalid/sample-000069.mp3,you were going to go out and conquer the world,0,3,,,,
cv-invalid/sample-000070.mp3,and above all don't forget to follow your destiny through to its conclusion,0,1,,,,
cv-invalid/sample-000071.mp3,i heard what you were talking about the other day with the alchemist the wind said,0,2,,,,
cv-invalid/sample-000072.mp3,there the alchemist separated the disk into four parts,1,2,,,,
cv-invalid/sample-000073.mp3,they started right in bribing me,0,1,,,,
cv-invalid/sample-000074.mp3,i thought about the difficulties in translation that might arise,1,2,,,,
cv-invalid/sample-000075.mp3,this was the strangest of all things that ever came to earth from outer space,0,3,,,,
cv-invalid/sample-000076.mp3,this beer has been brewed in germany more specifically in bavaria,0,2,,,,
cv-invalid/sample-000077.mp3,i sold crystal and crossed the desert,0,3,,,,
cv-invalid/sample-000078.mp3,i have already described the appearance of that colossal bulk which was embedded in the ground,1,4,,,,
cv-invalid/sample-000079.mp3,air was either entering or escaping at the rim with a thin sizzling sound,1,3,,,,
cv-invalid/sample-000080.mp3,but those who know about such things would know that those are urim and thummim,2,3,,,,
cv-invalid/sample-000081.mp3,many people in berkshire surrey and middlesex must have seen it,0,6,twenties,male,us,
cv-invalid/sample-000082.mp3,are there any other questions,0,2,,,,
cv-invalid/sample-000083.mp3,you'll watch them as they grow demonstrating how the world is always changing,1,2,,,,
cv-invalid/sample-000084.mp3,then it was the radio,0,3,,,,
cv-invalid/sample-000085.mp3,you're a man disgusted with all of civilization,0,2,,,,
cv-invalid/sample-000086.mp3,he really was a king,0,1,,,,
cv-invalid/sample-000087.mp3,it infuriates me and i don't know why,0,1,,,,
cv-invalid/sample-000088.mp3,there isn't any more wine,0,1,fifties,male,us,
cv-invalid/sample-000089.mp3,a boy came running towards me,46,5,,,,
cv-invalid/sample-000090.mp3,he had been so far away that his face wasn't even visible,0,1,,,,
cv-invalid/sample-000091.mp3,something's the matter with daddy,0,1,twenties,female,,
cv-invalid/sample-000092.mp3,that's the magic of omens said the boy,0,1,,,,
cv-invalid/sample-000093.mp3,looking up he saw a pair of hawks flying high in the sky,0,2,,,,
cv-invalid/sample-000094.mp3,at that time it was quite clear in my own mind that the thing had come from the planet mars,10,5,twenties,male,us,
cv-invalid/sample-000095.mp3,i came out of it without a scratch,0,1,,,,
cv-invalid/sample-000096.mp3,now i too will be one of the women who wait,0,1,,,,
cv-invalid/sample-000097.mp3,strange images passed through my mind,1,2,,,,
cv-invalid/sample-000098.mp3,the boy looked around for the ovens and other apparatus used in alchemy but saw none,0,1,,,,
cv-invalid/sample-000099.mp3,much better said the old man,2,5,,,,
cv-invalid/sample-000100.mp3,she's on the air,0,1,,,,
cv-invalid/sample-000101.mp3,i have had the same dream twice he said,0,1,twenties,male,indian,
cv-invalid/sample-000102.mp3,the falcon's beak carries bits of me myself the desert said,0,2,,,,
cv-invalid/sample-000103.mp3,and that he a boy could perform miracles,0,1,fourties,male,australia,
cv-invalid/sample-000104.mp3,it is up there,0,1,fifties,male,us,
cv-invalid/sample-000105.mp3,i have to find a man who knows that universal language,0,1,,,,
cv-invalid/sample-000106.mp3,bodyhtml,3,7,,,,
cv-invalid/sample-000107.mp3,the camel driver was seated at the base of a palm tree observing the sunset,0,2,fourties,female,us,
cv-invalid/sample-000108.mp3,it's up to you,0,1,,,,
cv-invalid/sample-000109.mp3,i can't very well leave without a pair of water wings,0,1,,,,
cv-invalid/sample-000110.mp3,drinking too much water in a short period of time can be lethal,0,2,,,,
cv-invalid/sample-000111.mp3,but bakers are more important people than shepherds,19,3,,,,
cv-invalid/sample-000112.mp3,fortytwo is not a random number,0,1,,,,
cv-invalid/sample-000113.mp3,they crossed the desert for another two days in silence,0,2,sixties,female,african,
cv-invalid/sample-000114.mp3,why was it that he wanted the boy to serve as his instrument,0,1,,,,
cv-invalid/sample-000115.mp3,but he decided first to buy his bakery and put some money aside,0,1,,,,
cv-invalid/sample-000116.mp3,it was such a gradual movement that he found it only by noticing the dots,1,2,,,,
cv-invalid/sample-000117.mp3,mister kristen has something to say to us,0,1,,,,
cv-invalid/sample-000118.mp3,many people in berkshire surrey and middlesex must have seen it,28,7,,,,
cv-invalid/sample-000119.mp3,drink and enjoy yourself said the alchemist noticing that the boy was feeling happier,1,2,,,,
cv-invalid/sample-000120.mp3,and the falcon then nourishes man,1,4,twenties,male,,
cv-invalid/sample-000121.mp3,you can't offer me something that is already mine the chief said arrogantly,0,1,,,,
cv-invalid/sample-000122.mp3,one of my best reporters,0,1,,,,
cv-invalid/sample-000123.mp3,it's what you have always wanted to accomplish,11,2,,,,
cv-invalid/sample-000124.mp3,in spite of this i still believed that there were men in mars,0,6,,,,
cv-invalid/sample-000125.mp3,i don't much like change he said,0,1,,,,
cv-invalid/sample-000126.mp3,undefined,0,1,,,,
cv-invalid/sample-000127.mp3,then he sat in the sunfilled doorway smoking the hookah,0,2,,,,
cv-invalid/sample-000128.mp3,doctype html public ietfdtd html en,0,3,,,,
cv-invalid/sample-000129.mp3,but those who know about such things would know that those are urim and thummim,3,5,,,,
cv-invalid/sample-000130.mp3,she retired to a big comfy couch in the corner of the hall,0,1,,,,
cv-invalid/sample-000131.mp3,you don't have to go with me,0,1,thirties,male,us,
cv-invalid/sample-000132.mp3,why would a king be talking with a shepherd the boy asked awed and embarrassed,1,4,,,,
cv-invalid/sample-000133.mp3,undefined,0,3,,,,
cv-invalid/sample-000134.mp3,they said nothing else,0,2,,,,
cv-invalid/sample-000135.mp3,because for him you are a green field from which he always returns with game,0,3,twenties,male,england,
cv-invalid/sample-000136.mp3,some went away while i was there and other people came,0,2,,,,
cv-invalid/sample-000137.mp3,learn to recognize omens and follow them the old king had said,4,5,,,,
cv-invalid/sample-000138.mp3,the boy was getting irritated,1,2,,,,
cv-invalid/sample-000139.mp3,i know this might sound really bad but listening to this music just makes me want to go hide in the mountains,0,1,thirties,male,us,
cv-invalid/sample-000140.mp3,we don't know when the war will end so we can't continue our journey he said,0,1,,,,
cv-invalid/sample-000141.mp3,excuse you for what,0,2,,,,
cv-invalid/sample-000142.mp3,the new law was retroactive,1,2,,,,
cv-invalid/sample-000143.mp3,tomorrow sell your camel and buy a horse,0,2,fifties,female,canada,
cv-invalid/sample-000144.mp3,you mustn't let what she said bother you,0,1,thirties,male,us,
cv-invalid/sample-000145.mp3,i have already described the appearance of that colossal bulk which was embedded in the ground,0,1,,,,
cv-invalid/sample-000146.mp3,we don't know what's in the confounded thing do you,0,9,teens,male,us,
cv-invalid/sample-000147.mp3,but you know that i'm not going to go to mecca,0,1,,,,
cv-invalid/sample-000148.mp3,the boy felt a pang in his heart thinking about the merchant's daughter,1,2,,,,
cv-invalid/sample-000149.mp3,i don't like seals anyhow,0,1,,,,
cv-invalid/sample-000150.mp3,there were snickers from the background,0,1,twenties,female,,
cv-invalid/sample-000151.mp3,you lived your life in a loving way and died with dignity,0,1,,,,
cv-invalid/sample-000152.mp3,you've never been born,0,1,twenties,male,us,
cv-invalid/sample-000153.mp3,if bill had died in bed we wouldn't even have him,0,1,,,,
cv-invalid/sample-000154.mp3,but he certainly didn't desire that an army invade the oasis,0,3,,,,
cv-invalid/sample-000155.mp3,how much do you want on it,0,1,,,,
cv-invalid/sample-000156.mp3,i just don't trust anyone who says they've never had hamburger helper,2,9,,,,
cv-invalid/sample-000157.mp3,but now the sounds inside had stopped,1,2,,,,
cv-invalid/sample-000158.mp3,the boy looked around for the ovens and other apparatus used in alchemy but saw none,0,1,,,,
cv-invalid/sample-000159.mp3,the boy swore that every time he heard the alarm he would heed its message,0,3,,,,
cv-invalid/sample-000160.mp3,the weights in w can be negative,0,1,fifties,female,indian,
cv-invalid/sample-000161.mp3,it was starlight and i explained the signs of the zodiac to her,1,3,twenties,male,us,
cv-invalid/sample-000162.mp3,and you've told me about omens,1,2,,,,
cv-invalid/sample-000163.mp3,he still calls his mother 'mummy',0,2,,,,
cv-invalid/sample-000164.mp3,i'm getting out of here and you can't stop me,0,1,,,,
cv-invalid/sample-000165.mp3,you don't have to be rich skinny popular or even own a cape to perform a random act of kindness,2,6,,,,
cv-invalid/sample-000166.mp3,henderson went into the railway station to telegraph the news to london,1,2,teens,female,us,
cv-invalid/sample-000167.mp3,they reached the center of a large plaza where the market was held,0,3,,,,
cv-invalid/sample-000168.mp3,the shop folks were taking down their shutters and people were opening their bedroom windows,0,2,,,,
cv-invalid/sample-000169.mp3,he had assumed he would soon return to his sheep,0,3,,,,
cv-invalid/sample-000170.mp3,it would have been visible to me had i only looked up as it passed,0,2,twenties,male,,
cv-invalid/sample-000171.mp3,the guy thought he was a lunatic at large and made an unsuccessful attempt to stop him,1,2,,,,
cv-invalid/sample-000172.mp3,i thought that someday i'd be rich and could go to mecca,0,2,,,,
cv-invalid/sample-000173.mp3,what is an alchemist he asked finally,1,3,,,,
